ID,Cassette No.,Date,Database,Station,Language,Length,Kinyarwanda transcript,Notes
K0169811-K0169833,183,25/03/1994,Genocide Archives; ICTR,RTLM,French,60 mins (23 pages),K0145324-K0145343,
K0216721-K0216749,187,30/03/1994,Genocide Archives,RTLM,French,60 mins (30 pages) ,N/A,Not a translation as Ruggiu is presenting. 
K0263378- K0263410,188,31/03/1994,MIGS; Genocide Archives; ICTR,RTLM,French,33 Pages,K0206326-K0206356,
K0113774-K0113801,188,31/03/1994,MIGS; Genocide Archives; ICTR,RTLM,English,28 pages,K0206326-K0206356,
K0147056-K0147066,190,02/04/1994,Genocide Archives; ICTR,RTLM,English,12 Pages ,K0210961-K0210989,
K0169882-K0169897,190,02/04/1994,Genocide Archives; ICTR,RTLM,French,16 Pages,N/A,Same cassette no 0190 but transcripts do not match
K0147067-K0147073,191,02/04/1994,Genocide Archives; ICTR,RTLM,French,7 Pages,K0210990-K0211009,
K0258873-K0258901,192,03/04/1994,MIGS; Genocide Archives; ICTR,RTLM,French,60 mins (29 pages),K0145624-K0145651,
K0273270- K0273307,192,03/04/1994,Genocide Archives; ICTR,RTLM,English,60 mins (41 pages),K0145624-K0145651,
K0147090-K0147099,193,03/04/1994,Genocide Archives,RTLM,English,10 pages,K0206267-K0206299,
K0164817-K0164838,194,03/04/1994,Genocide Archives; ICTR,RTLM,English,60 mins (22 pages) ,K0151724-K0151761,
K0162322-K0162358,194,03/04/1994,MIGS; Genocide Archives; ICTR,RTLM,French,60 mins (37 pages),K0151724-K0151761,
K0147113-K0147118,195,28/05/1994,Genocide Archives,RTLM,English,9 pages,K0147660-K0147678,
K0230533-K0230557,198,Unknown,Genocide Archives,RTLM,French,25 Pages,K0224010-K0224033,
K0260664-K0260692,204,Unknown,Genocide Archives,RTLM,French,30 pages,N/A,
K0262457-K0262473,205,22/04/1994,MIGS; ICTR,RTLM,French,60 mins (17 pages),K0164521-K0164545,
K0260705-K0260731,205,22/04/1994,MIGS; ICTR,RTLM,English,60 mins (27 pages),K0164521-K0164545,
K0269134-K0269164,207,17/05/1994,Genocide Archives,RTLM,English,60 mins (32 pages),K0163656-K0163687,
K0262374-K0262407,207,17/05/1994,MIGS; Genocide Archives; ICTR,RTLM,French,60 mins (34 pages),K0163656-K0163687,
N/A,211,13-14/05/1994,Genocide Archives; ICTR,RTLM,French,Excerpts,K0216839-K0216859,
N/A,211,13-14/05/1994,Genocide Archives; ICTR,RTLM,English,Excerpts,K0216839-K0216859,
N/A,212,15/05/1994,Genocide Archives; ICTR,RTLM,French,Excerpts,K0221640-K0221658,
N/A,212,15/05/1994,Genocide Archives; ICTR,RTLM,English,Excerpts,K0221640-K0221658,
K0249642-K0249676,214,01/07/1994,MIGS; Genocide Archives; ICTR,RTLM,French,60 mins (35 pages),K0140835-K0140856,
N/A,215,02/07/1994,Genocide Archives,RTLM,French,Excerpts,K0211034-K0211055,
N/A,215,02/07/1994,Genocide Archives,RTLM,English,Excerpts,K0211034-K0211055,
K0258672-K0258692,217,03/07/1994,MIGS; Genocide Archives; ICTR,RTLM,French,60 mins (21 pages) ,K0210753-K0210771,Cassette no. of translation different to the original (0041)
K0260917-K0260942,217,03/07/1994,MIGS; Genocide Archives; ICTR,RTLM,English,60 mins (26 pages),K0210753-K0210771,Cassette no. of translation different to the original (0041)
K0336042-K0336056,0221/0026,10/04/1994,Genocide Archives,RTLM,French,20 pages,N/A,Transcripts of 3 different cassettes
K0223800-K0223808,240,Unknown,Genocide Archives; ICTR,RTLM,English,9 pages,K0143925-K0143932,
K0223809-K0223817,240,Unknown,Genocide Archives; ICTR,RTLM,French,9 pages,K0143925-K0143932,
K0143981-K0143993,242,23/05/1994,Genocide Archives; ICTR,RTLM,French,13 pages,K0143968-K0143980,
K0267579-K0267588,249,06/05/1994,MIGS; Genocide Archives; ICTR,RTLM,French,10 Pages,K0144117-K0144128,
N/A,257,N/A,Genocide Archives,RTLM,English,Excerpts,N/A,
K0248397-K0248422,267,03/06/1994,MIGS; Genocide Archives; ICTR,RTLM,French,90 mins (26 pages),K0139592-K0139618,
K0298925-K0298937,271,19/04/1994,MIGS,Radio Rwanda,French,13 Pages,K0129406-K0129418,
K0139803-K0139819,277,26/10/1993,Genocide Archives; ICTR,RTLM,French,17 Pages,K0139820- K0139835,
K0244049 -K0244069,295,16/01/1994,MIGS; ICTR,RTLM,French,60 mins (21 pages) ,K0211344-K0211367,
K0244819-K0244846,295,16/01/1994,ICTR,RTLM,English,27 Pages,K0211344-K0211367,
K0263696-K0263723,296,28/05/1994,MIGS; ICTR,RTLM,French,60 mins (28 pages),K0211368-K0211385,
K0248229-K0248253,300,26/06/1994,MIGS; ICTR,RTLM,French,60  mins (25 pages),K0138765-K0138789,
K0260345-K0260369,302,25/06/1994,MIGS; ICTR,RTLM,French,60 mins (25 pages),N/A,
K0259931-K0259969,304,27/06/1994,MIGS; ICTR,RTLM,French,60 mins (39 pages),K0138997-K0139022,
K0139082-K0139106,308,30/06/1994,ICTR,RTLM,French,90 mins (25 pages),N/A,
K0259139- K0259168,314,17-20/12/1993,MIGS; ICTR,RTLM,French,60 mins (30 pages),K0139248-K0139273,
N/A,329,01-02/02/1994,ICTR,RTLM,English,Excerpts,K0164363-K0164388,
K0258264-K0258289,329,01-02/02/1994,MIGS; ICTR,RTLM,French,60 mins (26 pages),K0164363-K0164388,
N/A,339,10-11-14/03/1994,ICTR,RTLM,English,Excerpts,K0141720-K0141750,
K0258290-K0258325,339,10-11-14/03/1994,MIGS; ICTR,RTLM,French,60 mins (36 pages),K0141720-K0141750,
K0249596- K0249620,340,14/03/1994,MIGS; ICTR,RTLM,French,25 Pages,K0141751-K0141778,
K0263167-K0263193,343,22-23/03/1994,MIGS; ICTR,RTLM,French,27 pages,K0141822-K0141848,
K0275141-K0275156,780,16/01/1994,MIGS,Radio Rwanda,English,16 Pages,K0143088-K0143119,
K0143371-K0143374,792,26/01/1994,MIGS,Radio Rwanda,French,60 mins (4 pages),N/A,
K0143386-K0143398,796,27/01/1994,MIGS,Radio Rwanda,French,60 mins (13 pages),N/A,
K0247296-K0247300,797,28/01/1994,MIGS,Radio Rwanda,English,60 mins (5 pages) ,K0143382-K0143385,Page 3 hand written 
K0147779-K0147784,882,18/03/1994,MIGS,Radio Rwanda,French,60 mins (6 pages),N/A,
K0146135-K0146141,900,02/04/1994,MIGS,Radio Rwanda,English and French ,7 pages,N/A,
K0374611-K0374621,903,07/04/1994,MIGS,Radio Rwanda,English,11 Pages,K0148996-K0149015,
K0216907-K0216919,918,17/04/1994,MIGS,Radio Rwanda,English,13 pages,N/A,
K0265337-K0265351,921,18/04/1994,MIGS,Radio Rwanda,English,15 pages ,K0149037-K0149062,
K0248926-K024895,921,18/04/1994,MIGS,Radio Rwanda,French,60 mins (27 pages),K0149037-K0149062,
K0259370-K0259404,924,19/04/1994,MIGS,Radio Rwanda,English,35 pages,K0149254-K0149286,
K0145924-K0145945,924,29/04/1994,MIGS,Radio Rwanda,French,22 pages,K0149254-K0149286,
K0162142-K0162154,933,25/04/1994,MIGS,Radio Rwanda,English,60 mins (13 pages),K0149120-K0149147,
K0215378-K0215387,942,29/04/1994,MIGS,Radio Rwanda,English,10 pages,N/A,
K0238739-K0238758,945,30/04/1994,MIGS,Radio Rwanda,English,60 mins (20 pages),K0149287-K0149312,
K0238705-K0238738,945,30/04/1994,MIGS,Radio Rwanda,French,60 mins (34 pages),K0149287-K0149312,
K0364107-K0364129,946,01/05/1994,MIGS,Radio Rwanda,English,60 mins (23 pages),K0282545-K0282577,
K0344404-K0344436,946,01/05/1994,MIGS,Radio Rwanda,French,60 mins (33 pages),K0282545-K0282577,
K0215879-K0215897,959,06/05/1994,MIGS,Radio Rwanda,French,19 pages ,N/A,
K0247490-K0247521,967,09/05/1994,MIGS,Radio Rwanda,English,60 mins (32 pages),K0149660-K0149692,
K0235238-K0235256,968,09/05/1994,MIGS,Radio Rwanda,English,60 mins (19 pages),K0149693-K0149712,
K0183686-K0183700,968,09/05/1994,MIGS,Radio Rwanda,French,60 mins (15 pages),K0149693-K0149712,
K0271979-K0272001,970,10/05/1994,MIGS,Radio Rwanda,English,60 mins (23 pages),K0149713-K0149729,
